[2025-12-19 02:08:33] Hook installed.
[2025-12-19 02:08:33] MouseMove: dx=81, dy=57
[2025-12-19 02:08:33] MouseMove: dx=0, dy=1
[2025-12-19 02:08:33] MouseMove: dx=1, dy=0
[2025-12-19 02:08:33] MouseMove: dx=0, dy=1
[2025-12-19 02:08:33] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:33] MouseMove: dx=0, dy=1
[2025-12-19 02:08:33] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=1
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=1
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:34] MouseMove: dx=0, dy=1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=1
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=2
[2025-12-19 02:08:34] MouseMove: dx=0, dy=1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=1
[2025-12-19 02:08:34] MouseMove: dx=3, dy=3
[2025-12-19 02:08:34] MouseMove: dx=5, dy=2
[2025-12-19 02:08:34] MouseMove: dx=13, dy=7
[2025-12-19 02:08:34] MouseMove: dx=18, dy=9
[2025-12-19 02:08:34] MouseMove: dx=32, dy=14
[2025-12-19 02:08:34] MouseMove: dx=45, dy=16
[2025-12-19 02:08:34] MouseMove: dx=50, dy=14
[2025-12-19 02:08:34] MouseMove: dx=61, dy=14
[2025-12-19 02:08:34] MouseMove: dx=80, dy=16
[2025-12-19 02:08:34] MouseMove: dx=76, dy=10
[2025-12-19 02:08:34] MouseMove: dx=179, dy=15
[2025-12-19 02:08:34] MouseMove: dx=78, dy=2
[2025-12-19 02:08:34] MouseMove: dx=75, dy=3
[2025-12-19 02:08:34] MouseMove: dx=145, dy=0
[2025-12-19 02:08:34] MouseMove: dx=41, dy=0
[2025-12-19 02:08:34] MouseMove: dx=31, dy=2
[2025-12-19 02:08:34] MouseMove: dx=28, dy=0
[2025-12-19 02:08:34] MouseMove: dx=12, dy=1
[2025-12-19 02:08:34] MouseMove: dx=20, dy=1
[2025-12-19 02:08:34] MouseMove: dx=9, dy=2
[2025-12-19 02:08:34] MouseMove: dx=8, dy=1
[2025-12-19 02:08:34] MouseMove: dx=11, dy=1
[2025-12-19 02:08:34] MouseMove: dx=4, dy=1
[2025-12-19 02:08:34] MouseMove: dx=5, dy=2
[2025-12-19 02:08:34] MouseMove: dx=6, dy=1
[2025-12-19 02:08:34] MouseMove: dx=5, dy=3
[2025-12-19 02:08:34] MouseMove: dx=6, dy=1
[2025-12-19 02:08:34] MouseMove: dx=2, dy=0
[2025-12-19 02:08:34] MouseMove: dx=1, dy=0
[2025-12-19 02:08:34] MouseMove: dx=1, dy=0
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=-3, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=-6, dy=-3
[2025-12-19 02:08:34] MouseMove: dx=-3, dy=-3
[2025-12-19 02:08:34] MouseMove: dx=-1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-9
[2025-12-19 02:08:34] MouseMove: dx=2, dy=-3
[2025-12-19 02:08:34] MouseMove: dx=3, dy=-10
[2025-12-19 02:08:34] MouseMove: dx=7, dy=-10
[2025-12-19 02:08:34] MouseMove: dx=4, dy=-8
[2025-12-19 02:08:34] MouseMove: dx=6, dy=-9
[2025-12-19 02:08:34] MouseMove: dx=9, dy=-14
[2025-12-19 02:08:34] MouseMove: dx=7, dy=-12
[2025-12-19 02:08:34] MouseMove: dx=8, dy=-13
[2025-12-19 02:08:34] MouseMove: dx=7, dy=-10
[2025-12-19 02:08:34] MouseMove: dx=5, dy=-11
[2025-12-19 02:08:34] MouseMove: dx=4, dy=-7
[2025-12-19 02:08:34] MouseMove: dx=5, dy=-12
[2025-12-19 02:08:34] MouseMove: dx=7, dy=-16
[2025-12-19 02:08:34] MouseMove: dx=6, dy=-15
[2025-12-19 02:08:34] MouseMove: dx=6, dy=-11
[2025-12-19 02:08:34] MouseMove: dx=6, dy=-12
[2025-12-19 02:08:34] MouseMove: dx=3, dy=-6
[2025-12-19 02:08:34] MouseMove: dx=7, dy=-14
[2025-12-19 02:08:34] MouseMove: dx=6, dy=-11
[2025-12-19 02:08:34] MouseMove: dx=3, dy=-7
[2025-12-19 02:08:34] MouseMove: dx=3, dy=-7
[2025-12-19 02:08:34] MouseMove: dx=2, dy=-6
[2025-12-19 02:08:34] MouseMove: dx=2, dy=-5
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-6
[2025-12-19 02:08:34] MouseMove: dx=2, dy=-6
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-5
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-5
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-3
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-2
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-3
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-4
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-3
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-2
[2025-12-19 02:08:34] MouseMove: dx=1, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=-1
[2025-12-19 02:08:34] MouseMove: dx=0, dy=2
[2025-12-19 02:08:35] MouseMove: dx=0, dy=3
[2025-12-19 02:08:35] MouseMove: dx=1, dy=2
[2025-12-19 02:08:35] MouseMove: dx=0, dy=3
[2025-12-19 02:08:35] MouseMove: dx=1, dy=2
[2025-12-19 02:08:35] MouseMove: dx=1, dy=2
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=0
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=1
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=0
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=0
[2025-12-19 02:08:35] Mouse: Left Click
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=0
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=0
[2025-12-19 02:08:35] MouseMove: dx=0, dy=1
[2025-12-19 02:08:35] MouseMove: dx=1, dy=0
[2025-12-19 02:08:35] Mouse: Left Click
[2025-12-19 02:08:35] MouseMove: dx=-3, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-4, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-5, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-12, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-11, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-18, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-14, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-25, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-24, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-31, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-24, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-44, dy=0
[2025-12-19 02:08:35] MouseMove: dx=-25, dy=-2
[2025-12-19 02:08:35] MouseMove: dx=-34, dy=0
[2025-12-19 02:08:36] MouseMove: dx=-28, dy=-2
[2025-12-19 02:08:36] MouseMove: dx=-25, dy=-2
[2025-12-19 02:08:36] MouseMove: dx=-25, dy=-3
[2025-12-19 02:08:36] MouseMove: dx=-28, dy=-2
