[2025-12-22 13:18:43] >>> Recording Started <<<
[2025-12-22 13:18:43] [Google Gemini - Google Chrome] MouseMove: dx=79, dy=81
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=7, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=9, dy=5
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=14, dy=7
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=14, dy=12
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=29, dy=24
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=28, dy=20
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=38, dy=29
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=44, dy=30
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=38, dy=32
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=49, dy=41
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=42, dy=37
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=42, dy=35
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=45, dy=36
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=34, dy=26
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=38, dy=29
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=36, dy=19
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=32, dy=25
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=31, dy=23
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=31, dy=23
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=24, dy=16
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=25, dy=19
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=20, dy=14
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=21, dy=16
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=18, dy=13
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=18, dy=12
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=21, dy=18
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=21, dy=16
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=18, dy=13
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=21, dy=16
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=18, dy=13
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=12, dy=9
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=19, dy=13
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=12, dy=7
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=13, dy=7
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=5, dy=2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=6, dy=3
