[2025-12-22 13:26:45] >>> Recording Started <<<
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=94, dy=92
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=-3, dy=-2
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=-3, dy=-3
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=-2, dy=-2
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=-1, dy=-3
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=4, dy=-1
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=9, dy=0
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=12, dy=3
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=12, dy=6
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=17, dy=6
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=25, dy=8
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=26, dy=6
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=36, dy=16
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=35, dy=13
[2025-12-22 13:26:45] [monitor - 文件资源管理器] MouseMove: dx=34, dy=10
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=37, dy=10
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=41, dy=13
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=48, dy=16
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=57, dy=14
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=65, dy=25
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=63, dy=28
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=66, dy=33
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=56, dy=27
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=38, dy=31
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=29, dy=27
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=33, dy=33
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=22, dy=28
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=21, dy=31
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=25, dy=31
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=19, dy=25
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=13, dy=20
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=18, dy=22
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=14, dy=15
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=11, dy=11
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=11, dy=11
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=10, dy=11
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=4, dy=11
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=8, dy=9
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=5, dy=8
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=5, dy=6
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=3, dy=4
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=2, dy=3
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=1, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=0, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=2, dy=3
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=0, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=1, dy=5
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=1, dy=4
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=3, dy=3
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=1, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=2, dy=1
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=2, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=4, dy=-1
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=4, dy=-1
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=4, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=5, dy=-2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=3, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=7, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=9, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=6, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=4, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=5, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=4, dy=1
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=2, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=4, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=2, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=0, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=1, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=2, dy=3
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=1, dy=3
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=0, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=1, dy=2
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=-3, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=-4, dy=0
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=-3, dy=-1
[2025-12-22 13:26:46] [monitor - 文件资源管理器] MouseMove: dx=-3, dy=-1
[2025-12-22 13:26:46] [monitor - 文件资源管理器] Mouse: Left Click
[2025-12-22 13:26:46] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-2
[2025-12-22 13:26:46] [系统托盘溢出窗口。] MouseMove: dx=2, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=2, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=2, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=2, dy=-4
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-6
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-9
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-8
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-11
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-10
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-6
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-10
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-6
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-5, dy=-6
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-5, dy=-6
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-6, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-6, dy=-6
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-1
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-1
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-4
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-7
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-8
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-2
